x,y,g,id,date
-87.632119,41.931026,35.581875,IfKpYG1sbOGCMXBtgEDv9A,2018-06
-87.632129,41.930365,29.0169791667,IEG_-eLoFaCe1ltOnXtavg,2018-06
-87.632148,41.929702,19.049375,hqDrREFeEbobPrczFUaQMg,2018-06
-87.632141,41.929103,28.3753125,vDdcsS_c_08oYn4G6zIlRA,2018-07
-87.632025,41.928344,25.1383333333,_C7bcXaEzu8q0B9fkr4cCQ,2018-06
-87.631880,41.927814,34.2327083333,I22nlUNF1p5UC2umS4vSqg,2018-07
-87.631647,41.927060,21.55125,YKOzrrL1ndw7yPh-hwnFsQ,2018-06
-87.631461,41.926455,17.9882291667,a-vW7YqoSWA4a7NXKqaWFw,2018-06
-87.879041,41.980102,1.0965625,EM66Hr743wGhljxTtaVyGw,2018-07
-87.684010,41.931636,28.40375,VxxIlWV6Ua-f5QrB-LGg-Q,2018-07
-87.684509,41.931178,29.7954166667,vxRjyfYxBNPdEh9V7Ecndg,2018-07
-87.623291,41.875874,4.733125,eKket3mRWaiocBwimlj-aQ,2018-06
-87.623611,41.876478,12.1269791667,j5_7PDF66bkuFOkqJYqnSA,2018-06
-87.621093,41.875914,16.5363541667,iSofbDUdQikKeKeNJbljsw,2018-06
-87.621953,41.875900,17.49875,hy8X72wY7bwM2IAwlYuC7g,2018-06
-87.622341,41.875607,13.6859375,uNPFy7m20NiArFPKCrygmQ,2018-06
-87.630385,41.837551,10.4751041667,HWj4f67uyw4OViPj0vzoXA,2018-06
-87.630437,41.838166,5.85479166667,GFigODQqGnAvZTO5-CFPIg,2018-06
-87.630462,41.838818,7.91864583333,nkGoRd9_nn7BabyLcRHd9Q,2018-06
-87.630472,41.839594,5.26875,paaXfulkSlo0PTDc63PoIw,2018-06
-87.630466,41.840193,5.35697916667,drOG-aXyzQiaHm2C6uusbg,2018-06
-87.630455,41.840928,6.78072916667,EXVo_FQkpEAY_uFMDaOIng,2018-06
-87.630473,41.841553,5.683125,PEVnsBDT4tvWtqmNTcHgtQ,2018-06
-87.630601,41.842176,13.3802083333,RzDERcb8daGQq8ElW7lVUg,2018-06
-87.623932,41.857866,5.86083333333,Huy24mjBxdRA-nlrdbLeVA,2018-06
-87.624762,41.857853,9.28333333333,ubmrmLNlcf2fZvZm-Vy41w,2018-06
-87.625729,41.857838,8.75604166667,Xn2GYyGsfSdCrQQMa8WgbA,2018-06
-87.626550,41.857831,12.4421875,BDKJuf8gxP3ovJ_at2S7wA,2018-06
-87.622143,41.849297,18.6382291667,FaNjw8F0FMASK6J5sKEjPg,2017-09
-87.622161,41.849996,13.0226041667,xXI6GbAIthouM2pt6_gDtQ,2018-06
-87.622179,41.850658,6.44229166667,9M6J3Sg8iAnlSC0rw7iy0Q,2018-06
-87.622193,41.851316,19.3233333333,DIfrPNgEbcEB6-zOXIX2-g,2018-06
-87.622196,41.851955,20.514375,HO7LPzlfGup-dO-Jicxi1w,2018-06
-87.622208,41.852658,9.35395833333,Xg9VOFO4R9A_zQKX7jb6hQ,2018-06
-87.620400,41.867434,9.88510416667,PTnbOrxi8FZqtxMcBVATZg,2018-06
-87.623659,41.847466,11.9342708333,YBEkMrqni8mTzStxKJNJfA,2018-06
-87.623688,41.846832,23.8201041667,-eKZMMawH78ca9WR0N1DeQ,2018-06
-87.623648,41.846159,37.6607291667,QCUlNMZqfYiKWaoFFj9qOg,2018-06
-87.622316,41.860966,30.5404166667,0Uj14k3olakWoeY-OOhH-g,2018-06
-87.622329,41.861581,52.9458333333,pEGN7EycCLjxuah6-i0HzQ,2018-06
-87.622343,41.862217,51.1266666667,NrFiDMwh7GPKMjWuMZ2UrA,2018-06
-87.622359,41.862930,38.2789583333,NL2PAmmijvFcpeg6wxLFxg,2018-06
-87.622374,41.863604,46.1503125,yPCtjlat43UCa325uDuLkg,2018-06
-87.622376,41.864294,47.6934375,GgF3jgK-_TjA3siBRZ8Ogg,2018-06
